,OBS,Latitude,Longitude,Temperature
41,HCE96052604,-34.04116667,19.09283333,16.159485448016184
42,HCE96052606,-34.0595,19.0755,16.159485448016184
43,HCE96052610,-34.06916667,19.06483333,16.159485448016184
44,HCE96062907,-33.99633333,19.00833333,16.82519545733296
45,HCE96062908,-33.99733333,19.01266667,16.82519545733296
46,HCE96062910,-34.00666667,19.00966667,16.82519545733296
47,HCE96062911,-34.009,19.00583333,16.82519545733296
48,HCE96062912,-34.00966667,19.0005,16.82519545733296
49,HCE96070903,-34.3175,18.864,16.974604409510388
50,HCE96070904,-34.31433333,18.85966667,16.974604409510388
51,HCE96070909,-34.30816667,18.843,16.974604409510388
52,OUT96081002,-33.86533333,21.99566667,17.61376740336415
53,OUT96081007,-33.85983333,22.01183333,17.61376740336415
54,OUT96092801,-33.9405,21.75216667,17.61376740336415
55,OUT96092802,-33.93833333,21.743,17.61376740336415
56,OUT96092803,-33.93716667,21.74083333,17.61376740336415
57,OUT96092804,-33.93766667,21.73866667,17.61376740336415
58,SHS96062105,-33.886,22.44033333,17.662120331738915
59,OUT96110201,-33.99833333,21.464,17.58716368942094
60,OUT96110214,-33.98066667,21.44083333,17.58716368942094
61,OUT96110215,-33.9775,21.44083333,17.58716368942094
62,OUT96110218,-33.98966667,21.4435,17.58716368942094
63,OUT96110902,-33.94816667,21.14033333,17.58716368942094
64,OUT96110903,-33.94833333,21.13383333,17.58716368942094
65,OUT96110904,-33.9495,21.1275,17.58716368942094
66,OUT96110905,-33.95133333,21.1225,17.58716368942094
67,OUT96110906,-33.95283333,21.11666667,17.58716368942094
68,AWA97032403,-33.9625,21.25766667,17.58716368942094
69,WMP99010212,-33.95083333,21.12416667,17.58716368942094
70,OUT98092508,-33.95283333,20.90433333,17.354423065977972
71,KHA99051902,-34.1975,18.41233333,17.158483331972278
72,OUT98101001,-33.8955,22.38766667,17.662120331738915
73,OUT99011601,-33.91666667,22.50933333,17.662210087860718
74,OUT99011602,-33.92466667,22.516,17.662210087860718
75,OUT99021303,-33.86266667,22.30166667,17.662120331738915
76,OUT99070304,-33.82433333,22.9065,17.269697019804234
77,OUT99070306,-33.82166667,22.9,17.269697019804234
78,OUT99070308,-33.81666667,22.91016667,17.269697019804234
79,OUT99070310,-33.81816667,22.90616667,17.269697019804234
80,WIJ99082102,-34.11583333,18.43833333,16.82519545733296
81,OUT99061205,-33.84683333,21.95483333,17.61376740336415
82,OUTY0092203,-33.83016667,22.64816667,17.662210087860718
83,OUTY0092204,-33.8355,22.64616667,17.662210087860718
84,JAT92081302,-34.38166667,19.33666667,17.02985640376632
85,PVR92122602,-33.9685,18.428,17.158483331972278
86,PVR92122603,-33.97516667,18.42183333,17.158483331972278
87,AJT93010901,-34.31216667,18.99616667,16.974604409510388
88,AJT93010904,-34.313,19.01666667,16.974604409510388
89,MHG93010503,-33.92516667,23.721,17.42327570851327
90,AJT93032706,-34.05583333,18.3865,17.158483331972278
91,APE93040303,-33.8725,22.40833333,17.662120331738915
92,JAT93071403,-33.97883333,23.63816667,17.42327570851327
93,AKS93090103,-34.07483333,18.38766667,17.158483331972278
94,AKS93090104,-34.07066667,18.38283333,17.158483331972278
95,AKS93091604,-33.918,23.76016667,17.42327570851327
96,PVR93101604,-33.96366667,20.72366667,17.354423065977972
97,WIJ93102603,-33.99333333,20.50666667,17.354423065977972
98,WIJ93102608,-33.975,20.48,17.354423065977972
99,WIJ93102904,-33.95833333,20.33833333,17.354423065977972
100,WIJ93102907,-33.97166667,20.34833333,17.354423065977972
101,AJT94042012,-34.28916667,18.92066667,16.974604409510388
102,WIJ94041603,-33.98833333,20.59,17.354423065977972
103,ASP94102930,-34.20366667,18.90483333,16.82519545733296
104,AGR94112015,-34.34916667,18.92883333,16.974604409510388
105,JID94121701,-33.99233333,18.41566667,17.158483331972278
106,ASP94120310,-34.195,19.5055,16.159485448016184
107,PVR95022303,-34.06033333,18.3835,17.158483331972278
108,JID95032003,-34.385,19.27166667,17.02985640376632
109,GEH94121005,-33.1805,19.118,14.787861810167067
110,JID95082802,-34.09416667,18.43283333,17.158483331972278
111,OUT95100701,-33.8445,23.19133333,17.269697019804234
112,OUT95100710,-33.84683333,23.186,17.269697019804234
113,FBH95102602,-34.30183333,19.01283333,16.974604409510388
114,OUT95111808,-33.952,21.11883333,17.58716368942094
115,OUT95111815,-33.94233333,21.1435,17.58716368942094
116,OUT95111816,-33.94183333,21.13583333,17.58716368942094
117,FBH95111905,-34.21833333,18.44833333,16.82519545733296
118,JID96030403,-34.31266667,18.99833333,16.974604409510388
119,OUT96030910,-33.83416667,22.62066667,17.662210087860718
120,AGR96100902,-34.00816667,19.658,16.159485448016184
121,OUT96110206,-33.99,21.465,17.58716368942094
122,OUT97070604,-33.84883333,23.67983333,17.42327570851327
123,PVR97100109,-34.341,18.93483333,16.974604409510388
124,WIJ97101811,-34.33166667,19.24833333,17.02985640376632
125,WIJ97100405,-34.32833333,19.00666667,16.974604409510388
126,OUT97111511,-33.986,21.25583333,17.58716368942094
127,WIJ97110209,-34.07833333,19.99916667,17.153289467563162
128,CSS97120704,-34.11483333,18.4365,17.158483331972278
129,WIJ97120602,-34.34833333,18.94833333,16.974604409510388
130,WIJ97120603,-34.34166667,18.96,16.974604409510388
131,JID97120604,-34.34166667,18.96566667,16.974604409510388
132,OUT97100405,-33.95916667,21.54466667,17.58716368942094
133,JID98020901,-34.09316667,18.428,17.158483331972278
134,JBB98041303,-33.937,20.82533333,17.354423065977972
135,WIJ98110107,-33.98083333,21.2475,17.58716368942094
136,WIJ98120911,-34.63466667,19.59833333,17.02985640376632
137,WIJ99102301,-34.1925,19.18,16.159485448016184
138,AWA99092903,-32.96483333,19.096,14.787861810167067
139,GED99111704,-33.13166667,19.17416667,14.787861810167067
140,JUG99090902,-34.39583333,19.32166667,17.02985640376632
141,JUG99090903,-34.39083333,19.33666667,17.02985640376632
142,LKA99103003,-34.025,19.61916667,16.159485448016184
143,LKA99110401,-33.6905,19.10216667,15.484516052002656
144,OUT97112905,-33.86333333,23.6895,17.42327570851327
145,OUT98012402,-33.961,21.2635,17.58716368942094
146,LKA99110906,-34.3865,19.33716667,17.02985640376632
147,TLEY0010901,-34.44016667,19.66716667,17.02985640376632
148,SASY0010901,-34.43466667,19.66616667,17.02985640376632
149,TLE97110205,-34.3415,18.92933333,16.974604409510388
150,TLE99010503,-34.34466667,18.92816667,16.974604409510388
151,TLE99121804,-34.34316667,18.92933333,16.974604409510388
152,OUTY0080501,-33.92566667,22.5875,17.662210087860718
153,WIJY0101407,-34.3025,18.89333333,16.974604409510388
154,WIJY0102206,-34.36833333,20.55083333,17.79278810564558
155,WIJY0102806,-33.00166667,19.11,14.787861810167067
156,WIJY0103002,-33.01366667,19.09266667,14.787861810167067
157,JIDY0101407,-34.31433333,18.90266667,16.974604409510388
158,TLE97100405,-34.32166667,19.00816667,16.974604409510388
159,PINY1010803,-33.95633333,20.865,17.354423065977972
160,TLE97092708,-34.04116667,18.8765,16.82519545733296
161,TLE98091908,-34.09633333,18.44216667,16.82519545733296
