"","beta0","july_min","jan_max","prec","evap","soil","wind"
"2.5%",-4.07011391775,-62.6788542685,-35.46306613,-20.7427879035,-16.917582914,-24.303148462,-11.4191477405
"97.5%",121.80492066,67.7468515279998,49.2761785974998,27.9091631435,27.2192896674997,11.2571638248999,48.4438267174993
