"","x"
"1",0.5
"2",0.5
"3",1.65802353891421
"4",1.65802353891421
"5",1.65802353891421
"6",1.90437114223479
"7",1.90437114223479
"8",1.90437114223479
"9",1.90437114223479
"10",1.90437114223479
"11",1.90437114223479
"12",1.90437114223479
"13",1.69479387395899
"14",1.69479387395899
"15",1.69479387395899
"16",0.698588316044093
"17",1.49440403138253
"18",0.154230142493715
"19",0.154230142493715
"20",0.154230142493715
"21",0.154230142493715
"22",0.154230142493715
"23",0.154230142493715
"24",0.154230142493715
"25",0.161816719104478
"26",0.161816719104478
"27",0.207846813724106
"28",0.207846813724106
"29",0.207846813724106
"30",0.207846813724106
"31",0.207846813724106
"32",0.207846813724106
"33",0.207846813724106
"34",0.207846813724106
"35",0.207846813724106
"36",0.207846813724106
"37",0.207846813724106
"38",0.207846813724106
"39",0.207846813724106
"40",0.207846813724106
"41",0.207846813724106
"42",0.207846813724106
"43",0.207846813724106
"44",0.207846813724106
"45",0.207846813724106
"46",0.207846813724106
"47",0.207846813724106
"48",0.207846813724106
"49",0.207846813724106
"50",0.207846813724106
"51",0.207846813724106
"52",0.207846813724106
"53",0.207846813724106
"54",0.207846813724106
"55",0.207846813724106
"56",0.207846813724106
"57",0.207846813724106
"58",0.207846813724106
"59",0.207846813724106
"60",0.207846813724106
"61",0.207846813724106
"62",0.207846813724106
"63",0.207846813724106
"64",0.207846813724106
"65",0.207846813724106
"66",0.207846813724106
"67",0.207846813724106
"68",0.207846813724106
"69",0.207846813724106
"70",0.207846813724106
"71",0.207846813724106
"72",0.207846813724106
"73",0.207846813724106
"74",0.207846813724106
"75",0.207846813724106
"76",0.207846813724106
"77",0.661941048917504
"78",0.661941048917504
"79",0.661941048917504
"80",0.661941048917504
"81",0.477138177780161
"82",0.477138177780161
"83",1.49434013760342
"84",1.49434013760342
"85",1.49434013760342
"86",1.49434013760342
"87",0.590376312789679
"88",0.590376312789679
"89",0.590376312789679
"90",0.590376312789679
"91",0.822705132984177
"92",0.822705132984177
"93",0.822705132984177
"94",1.28885738046746
"95",1.28885738046746
"96",1.54563249642481
"97",1.54563249642481
"98",1.54563249642481
"99",1.54563249642481
"100",1.54563249642481
"101",1.54563249642481
"102",1.70987185386967
"103",0.55033965915726
"104",0.55033965915726
"105",0.55033965915726
"106",0.55033965915726
"107",0.873598080071107
"108",0.873598080071107
"109",0.873598080071107
"110",0.873598080071107
"111",0.873598080071107
"112",0.873598080071107
"113",0.873598080071107
"114",0.873598080071107
"115",0.873598080071107
"116",0.873598080071107
"117",0.873598080071107
"118",0.873598080071107
"119",0.873598080071107
"120",0.873598080071107
"121",0.873598080071107
"122",1.5596026991822
"123",1.5596026991822
"124",0.548615554827664
"125",0.548615554827664
"126",0.548615554827664
"127",0.548615554827664
"128",0.572953011024743
"129",0.572953011024743
"130",0.572953011024743
"131",1.05710109987713
"132",1.05710109987713
"133",1.05710109987713
"134",1.05710109987713
"135",1.75704145171416
"136",1.75704145171416
"137",1.75704145171416
"138",1.75704145171416
"139",1.93432819156134
"140",1.93432819156134
"141",1.60416396597637
"142",1.60416396597637
"143",1.56561382998282
"144",1.56561382998282
"145",0.151852595743388
"146",0.151852595743388
"147",0.151852595743388
"148",0.151852595743388
"149",0.151852595743388
"150",0.151852595743388
"151",0.151852595743388
"152",0.126618884632041
"153",0.126618884632041
"154",0.126618884632041
"155",0.126618884632041
"156",0.126618884632041
"157",0.126618884632041
"158",0.126618884632041
"159",0.126618884632041
"160",0.126618884632041
"161",0.126618884632041
"162",0.126618884632041
"163",0.126618884632041
"164",0.0760142484083249
"165",1.49443388551434
"166",1.84754249019615
"167",1.92215343131427
"168",1.92215343131427
"169",1.56803090416703
"170",1.56803090416703
"171",1.56803090416703
"172",1.56803090416703
"173",1.56803090416703
"174",1.56803090416703
"175",1.56803090416703
"176",1.56803090416703
"177",1.56803090416703
"178",1.59257605478533
"179",1.53733424263102
"180",1.53733424263102
"181",1.53733424263102
"182",1.53733424263102
"183",1.53733424263102
"184",1.51778530445166
"185",1.51778530445166
"186",1.51778530445166
"187",1.51778530445166
"188",1.51778530445166
"189",1.51778530445166
"190",1.51778530445166
"191",0.127029285025627
"192",0.127029285025627
"193",0.127029285025627
"194",0.12804984971697
"195",0.12804984971697
"196",0.12804984971697
"197",0.12804984971697
"198",0.12804984971697
"199",0.12804984971697
"200",0.12804984971697
"201",0.12804984971697
"202",0.0784417533789724
"203",0.0784417533789724
"204",0.0784417533789724
"205",0.0784417533789724
"206",0.207961603161512
"207",0.207961603161512
"208",0.207961603161512
"209",0.207961603161512
"210",0.207961603161512
"211",0.207961603161512
"212",0.207961603161512
"213",0.207961603161512
"214",0.207961603161512
"215",0.207961603161512
"216",0.207961603161512
"217",0.207961603161512
"218",0.207961603161512
"219",0.207961603161512
"220",0.207961603161512
"221",0.207961603161512
"222",0.207961603161512
"223",0.207961603161512
"224",0.207961603161512
"225",0.207961603161512
"226",0.49771317233716
"227",0.49771317233716
"228",0.49771317233716
"229",0.49771317233716
"230",0.49771317233716
"231",0.49771317233716
"232",1.8767827077312
"233",1.8767827077312
"234",1.68128295750048
"235",1.68128295750048
"236",1.68128295750048
"237",1.91961658724184
"238",1.91961658724184
"239",1.91961658724184
"240",1.91961658724184
"241",0.350950071189162
"242",0.350950071189162
"243",0.346212282689838
"244",0.346212282689838
"245",0.346212282689838
"246",0.346212282689838
"247",0.346212282689838
"248",0.346212282689838
"249",0.346212282689838
"250",0.346212282689838
"251",0.346212282689838
"252",0.346212282689838
"253",0.346212282689838
"254",0.346212282689838
"255",0.346212282689838
"256",0.346212282689838
"257",0.346212282689838
"258",0.346212282689838
"259",0.346212282689838
"260",0.346212282689838
"261",0.250844452232678
"262",0.250844452232678
"263",1.58706926338874
"264",1.58706926338874
"265",1.45009974369755
"266",1.77504417101064
"267",1.49177487296108
"268",1.49177487296108
"269",0.715010388076696
"270",0.990302893708849
"271",0.630037274130154
"272",0.630037274130154
"273",0.654053283288451
"274",1.808596844099
"275",1.808596844099
"276",1.81810438492694
"277",1.81810438492694
"278",1.81810438492694
"279",1.81810438492694
"280",1.81810438492694
"281",1.81810438492694
"282",0.563767042351505
"283",0.339147269677054
"284",0.339147269677054
"285",0.339147269677054
"286",0.339147269677054
"287",0.339147269677054
"288",0.339147269677054
"289",0.339147269677054
"290",0.339147269677054
"291",0.339147269677054
"292",0.339147269677054
"293",0.339147269677054
"294",0.339147269677054
"295",0.339147269677054
"296",0.339147269677054
"297",0.339147269677054
"298",0.339147269677054
"299",0.339147269677054
"300",0.339147269677054
"301",0.339147269677054
"302",0.339147269677054
"303",0.339147269677054
"304",0.339147269677054
"305",0.339147269677054
"306",0.339147269677054
"307",0.339147269677054
"308",0.339147269677054
"309",0.339147269677054
"310",0.339147269677054
"311",0.339147269677054
"312",0.339147269677054
"313",0.339147269677054
"314",0.339147269677054
"315",0.339147269677054
"316",0.339147269677054
"317",0.339147269677054
"318",0.339147269677054
"319",0.339147269677054
"320",0.339147269677054
"321",0.339147269677054
"322",0.339147269677054
"323",0.229177529207638
"324",0.229177529207638
"325",0.229177529207638
"326",0.229177529207638
"327",0.229177529207638
"328",0.229177529207638
"329",0.229177529207638
"330",0.229177529207638
"331",0.229177529207638
"332",0.229177529207638
"333",0.229177529207638
"334",0.229177529207638
"335",0.229177529207638
"336",0.229177529207638
"337",0.229177529207638
"338",0.229177529207638
"339",0.229177529207638
"340",0.229177529207638
"341",0.229177529207638
"342",0.110653322387377
"343",0.110653322387377
"344",0.110653322387377
