"","V1","V2","V3","V4","V5","V6","V7"
"590",73.9105279074664,92.2314647750694,103.078432246726,5.42102387262414,-130.334013689365,25.4550525776427,-9.9960313757091
"591",0.247558577090792,-10.9783348656417,-2.09618736251533,8.52859186702368,-4.54678775032814,-7.5693103364261,-6.26529043252096
"592",5.19144708454044,-0.11404472792616,0.216958940373534,1.17187159722304,0.352364260594367,-1.42324388451327,-1.12943033915951
"593",1.79854217594738,-0.0308910049586831,0.109264752271091,0.198362833475215,-0.0830683124549188,-0.260068533914413,-0.0972983202371354
"594",41.9814987836721,2.13986878534842,2.88269383103042,-6.43222788210114,6.68474501261248,2.24448336166986,-1.73837895826318
"595",10.238805985076,2.33370616085977,0.800367075200092,0.807132382603094,-1.54546810174895,-0.701694710282031,1.83368794776574
"596",0.985473347535527,-0.186691485208319,-0.0945898791829484,0.149586828808692,-0.233380706659709,-0.208653279992652,-0.0334017841137223
"597",3.88830790300104,-0.687349031914638,-0.377217424889809,0.457994558343701,-0.524894416025692,-0.604034486740251,-0.0833377596184719
"598",133.792034627147,3.8820499393677,11.4541454977472,-4.36641339296844,10.5405607564271,-2.40947171466627,-1.59734879433647
"599",0.292967428272435,0.369502565962631,0.165658791093217,-0.0143083355291723,-0.467193226474677,-0.31889663424707,-0.11413388454237
"600",4.21915424747327,0.080129160081534,0.149287676286597,0.0217107919261736,0.200808562940716,-0.223858313791369,0.0305172279624409
"601",2.84735604610299,-0.135030002245531,-0.0764036759493691,-0.374963164803356,0.431302690640899,0.0928736714128496,0.03159310487617
"602",3.22847548193256,-0.264037447731046,-0.0436586691563943,-0.0251892359630165,-0.00112823451615535,-0.201822801931574,-0.19105474703746
"603",12.5145881830279,-0.617872986530621,-0.0797163547783985,0.57939636560452,0.209718098925462,-1.07876230035925,0.125346595809846
"604",9.2568029167429,-0.701904368480291,0.904197618305282,-1.9362378626397,2.31054030974452,-0.461042532984661,0.604961620012802
"605",0.758900802484,-0.0382129062915765,0.0380504364637679,-0.157134722449843,0.185559689179922,-0.0857223260655048,0.0506379589795577
"606",8.22973448616331,-0.774606833030142,-0.679312224703197,-0.292104518655353,0.742529238499374,-0.017582300645524,-0.0312688399404968
