"Obs","latitude","longitude","july_min","jan_max","prec","evap","soil","wind"
"DOA92091501",-33.3341666666667,22.127,0.71,40,390.23,0.05,0.45,3.94
"DOA92091503",-33.3306666666667,22.14,0.71,40,390.23,0.05,0.45,3.94
"DOA92091505",-33.3098333333333,22.2225,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92091507",-33.3248333333333,22.2468333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92091508",-33.3308333333333,22.246,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92091509",-33.3288333333333,22.2386666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92091510",-33.3295,22.2258333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92091512",-33.3185,22.2301666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92091605",-33.3023333333333,22.237,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92091606",-33.3043333333333,22.2338333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92091607",-33.3166666666667,22.2135,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92100106",-33.395,22.3623333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92100108",-33.3976666666667,22.3661666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92100110",-33.3955,22.3531666666667,0.52,38.33,406.05,0.07,0.43,3.51
"THA92091002",-33.437,21.315,0.3,39.56,374.41,0.05,0.41,4.09
"THA92091101",-33.4211666666667,21.314,0.3,39.56,374.41,0.05,0.41,4.09
"THA92091102",-33.4058333333333,21.3231666666667,0.3,39.56,374.41,0.05,0.41,4.09
"AMA92090804",-33.5116666666667,20.644,0.23,37.73,300.59,0.03,0.43,4.14
"AMA92090806",-33.5193333333333,20.6215,0.23,37.73,300.59,0.03,0.43,4.14
"APE92101703",-33.0613333333333,19.3311666666667,-1.39,35.69,564.26,0.2,0.49,3.73
"APE92101805",-32.6636666666667,19.1718333333333,-0.63,37.38,474.61,0.11,0.48,3.89
"APE92101806",-32.6636666666667,19.1713333333333,-0.63,37.38,474.61,0.11,0.48,3.89
"APE92101807",-32.668,19.1726666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"DOA92102001",-33.3946666666667,22.3483333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92102002",-33.3936666666667,22.349,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92102004",-33.3918333333333,22.351,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92102005",-33.387,22.3505,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92102006",-33.3815,22.3483333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92102007",-33.3806666666667,22.3451666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92102008",-33.3811666666667,22.3421666666667,0.52,38.33,406.05,0.07,0.43,3.51
"AKS92110301",-32.2613333333333,19.1555,-0.63,37.38,474.61,0.11,0.48,3.89
"AKS92110302",-32.2721666666667,19.1555,-0.63,37.38,474.61,0.11,0.48,3.89
"APB92110801",-33.8348333333333,19.1553333333333,1.57,36.73,458.79,0.16,0.45,3.73
"APE92092708",-33.5748333333333,24.2608333333333,0.54,42.04,453.52,0.14,0.44,3.92
"DOA92102305",-33.3346666666667,22.1908333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92102306",-33.3261666666667,22.2058333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA92102702",-33.3375,22.001,0.71,40,390.23,0.05,0.45,3.94
"DOA92102703",-33.3383333333333,22.0053333333333,0.71,40,390.23,0.05,0.45,3.94
"DOA92102704",-33.3365,22.0026666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA92102705",-33.3308333333333,21.9978333333333,0.71,40,390.23,0.05,0.45,3.94
"DOA92102706",-33.3185,22.004,0.71,40,390.23,0.05,0.45,3.94
"DOA92102707",-33.3341666666667,21.9956666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA92102708",-33.3423333333333,21.992,0.71,40,390.23,0.05,0.45,3.94
"THA92100601",-33.3911666666667,21.4408333333333,0.3,39.56,374.41,0.05,0.41,4.09
"DOA92111301",-33.3441666666667,21.9656666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA92111303",-33.3411666666667,21.9613333333333,0.71,40,390.23,0.05,0.45,3.94
"DOA92111304",-33.3356666666667,21.9553333333333,0.71,40,390.23,0.05,0.45,3.94
"DOA92111307",-33.3245,21.9511666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA92112601",-33.3211666666667,22.1693333333333,0.71,40,390.23,0.05,0.45,3.94
"DOA92112607",-33.3476666666667,21.992,0.71,40,390.23,0.05,0.45,3.94
"DOA92112608",-33.3508333333333,21.9891666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA92112613",-33.3603333333333,21.9816666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA92112617",-33.3536666666667,21.9795,0.71,40,390.23,0.05,0.45,3.94
"DOA92112618",-33.3526666666667,21.9786666666667,0.71,40,390.23,0.05,0.45,3.94
"DOA92120305",-33.3343333333333,21.935,0.71,40,390.23,0.05,0.45,3.94
"DOA92120306",-33.3423333333333,21.9333333333333,0.71,40,390.23,0.05,0.45,3.94
"AMA92112401",-33.5071666666667,20.5886666666667,0.23,37.73,300.59,0.03,0.43,4.14
"AMA92112402",-33.5058333333333,20.5993333333333,0.23,37.73,300.59,0.03,0.43,4.14
"AMA92112403",-33.5075,20.6283333333333,0.23,37.73,300.59,0.03,0.43,4.14
"AMA92112404",-33.5061666666667,20.6381666666667,0.23,37.73,300.59,0.03,0.43,4.14
"DOA93011305",-33.3555,22.201,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93011306",-33.3553333333333,22.2048333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93011308",-33.3581666666667,22.2053333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93011309",-33.359,22.2048333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93011310",-33.3596666666667,22.2021666666667,0.52,38.33,406.05,0.07,0.43,3.51
"ASP93012414",-33.969,19.4983333333333,1.57,36.73,458.79,0.16,0.45,3.73
"DOA93012104",-33.4235,22.8676666666667,-0.79,38.52,516.8,0.11,0.48,3.55
"DOA93012106",-33.4275,22.8676666666667,-0.79,38.52,516.8,0.11,0.48,3.55
"DOA93012107",-33.428,22.8688333333333,-0.79,38.52,516.8,0.11,0.48,3.55
"DOA93012108",-33.4285,22.871,-0.79,38.52,516.8,0.11,0.48,3.55
"DOA93012109",-33.4306666666667,22.872,-0.79,38.52,516.8,0.11,0.48,3.55
"DOA93012110",-33.4306666666667,22.8736666666667,-0.79,38.52,516.8,0.11,0.48,3.55
"DOA93012111",-33.431,22.8725,-0.79,38.52,516.8,0.11,0.48,3.55
"DOA93012204",-33.41,22.7833333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012207",-33.4141666666667,22.7661666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012208",-33.4166666666667,22.764,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012209",-33.4171666666667,22.7646666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012210",-33.4173333333333,22.7666666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012211",-33.4175,22.7676666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012212",-33.4185,22.7706666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012213",-33.42,22.7715,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012214",-33.4208333333333,22.7785,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93012217",-33.4171666666667,22.7823333333333,0.52,38.33,406.05,0.07,0.43,3.51
"APE93021421",-34.22,19.4291666666667,1.57,36.73,458.79,0.16,0.45,3.73
"MAJ93010103",-32.5111666666667,19.1558333333333,-0.63,37.38,474.61,0.11,0.48,3.89
"AGR93030602",-33.677,19.8723333333333,-1.1,36.98,622.27,0.15,0.55,3.74
"AGR93030603",-33.6743333333333,19.8731666666667,-1.1,36.98,622.27,0.15,0.55,3.74
"AGR93030604",-33.6735,19.877,-1.1,36.98,622.27,0.15,0.55,3.74
"AGR93030605",-33.6711666666667,19.8745,-1.1,36.98,622.27,0.15,0.55,3.74
"DOA93021001",-33.3216666666667,22.2285,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93021002",-33.3058333333333,22.2295,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93021003",-33.3045,22.2285,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93022002",-33.3795,22.4306666666667,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93022003",-33.3833333333333,22.435,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93022004",-33.3851666666667,22.4333333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93022005",-33.3811666666667,22.4268333333333,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93022007",-33.3783333333333,22.4145,0.52,38.33,406.05,0.07,0.43,3.51
"DOA93022401",-33.3185,22.0365,0.71,40,390.23,0.05,0.45,3.94
"DOA93022405",-33.3025,22.0323333333333,0.71,40,390.23,0.05,0.45,3.94
"DOA93022406",-33.3021666666667,22.0381666666667,0.71,40,390.23,0.05,0.45,3.94
"JAT93040303",-32.573,19.1746666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"JAT93040304",-32.5693333333333,19.1676666666667,-0.63,37.38,474.61,0.11,0.48,3.89
"DOA93030403",-33.3735,22.0311666666667,0.71,40,390.23,0.05,0.45,3.94
