obs,V1,V2,V3,V4,V5,V6,V7
86,-6.749082983,-8.483394233,-9.585936288,-2.426532182,8.607033408,-19.03830522,-0.972404764
87,-7.655943883,-15.35327656,-16.67594208,-3.186171373,15.01882625,-33.99675233,-0.179808581
88,-1.961036819,-3.372837135,-3.376775891,-0.046258266,3.880311396,-7.279288604,1.568140886
89,-14.08283861,-19.7880219,-22.634333,-6.040971759,19.12193589,-44.38172755,-3.395870896
90,-1.484366574,-7.697432102,-8.491643053,-3.002022531,10.75671872,-15.6565582,4.032081658
91,-5.366311417,-10.33504969,-12.12402403,-1.300094637,9.803278141,-24.85467375,-0.329549581
92,-1.382544902,-2.465939271,-2.92486808,-0.043252757,2.385823664,-6.196051923,0.050874047
93,-7.311704101,-10.31453714,-11.86108356,-2.877913518,9.438352996,-23.56366366,-2.30489486
94,-3.095844185,-3.90427033,-4.94855996,-0.381010198,4.74559122,-10.5359063,1.884375125
95,-2.49131857,-4.387215368,-5.014715862,-1.211737415,4.300214932,-9.945529639,-0.322100741
96,-3.743399945,-6.751186737,-7.471708386,-1.832301607,6.51754321,-14.90633953,-0.618873069
97,-6.326868365,-9.935250464,-11.48085017,-1.691358012,10.03918558,-23.88469066,0.776398986
98,-23.56522913,-34.5137761,-37.8115189,7.082800407,36.57315257,-88.82282576,17.18242703
99,-3.306009235,0.552884737,0.747585439,2.432982942,-0.126645913,1.310458238,1.548627426
100,11.58433069,4.631135346,5.678491754,-4.115055969,0.729042045,14.27437291,2.478810295
101,5.34264856,5.157800916,6.518317061,-4.205004606,0.544279438,15.67343996,1.460765953
102,17.0354366,2.423780573,5.618088217,-16.20548975,7.825462136,23.04973028,1.285164665
103,1.83761902,0.881110911,1.260298249,-0.891507465,0.226363006,3.147082767,0.399375493
104,7.557777193,2.24880848,3.339202574,-4.238300067,1.269773298,10.06183506,0.650928582
105,3.757873252,1.053106164,1.927147208,-3.054103568,1.532156475,5.913491462,1.035019447
106,39.74324186,5.358003256,15.5576264,-41.12811039,24.61178081,56.03702189,8.967305722
107,-0.758067325,-0.253818167,-0.348239134,0.442281464,0.711282041,0.164395555,0.657587662
108,2.096709696,0.276923247,0.041499875,-0.006021615,-0.752357744,1.067101985,-2.616260268
109,3.064217988,0.405818207,0.115475613,-1.417184594,-0.394899551,2.249536566,-1.485225576
110,3.111624823,0.403909267,0.026436268,-1.743384204,-0.177978002,2.410737451,-1.787798774
111,5.980008596,0.630009475,-0.060480736,-2.885846456,-0.439977986,4.043771695,-3.408554942
112,4.672475221,-0.856707136,-1.305493677,-2.385207319,1.396470286,0.02574979,-1.455957939
113,9.285832527,-0.206262622,-1.113166199,-3.976041694,0.783108879,2.779842612,-3.397574754
114,0.747583547,-0.387307764,-0.611381491,-0.767651498,0.74474572,-0.268623484,-0.261266526
115,2.192953085,-0.125031986,-0.394957451,-1.247628849,0.473843005,0.710723421,-0.878955342
116,12.05677124,0.103498171,-0.941776421,-5.023390405,0.830320255,4.666786017,-4.584797175
117,-0.025393309,0.118256854,-0.096431523,0.089552647,0.034261746,0.072480723,-0.540482518
118,6.739182333,0.536194645,-0.191863516,-2.869623685,-0.177461271,3.503123591,-2.832063054
119,5.02172412,0.713422499,0.210400958,-1.611770456,-0.634024777,2.990069591,-1.926130744
120,13.85181037,2.116276464,0.32021315,-4.941055667,-1.458125408,8.687023753,-5.520036694
121,7.108884121,-0.374246533,-0.980790886,-5.234391463,1.986195901,3.11510133,-4.177333034
122,4.295759325,-0.902608935,-0.806606796,-4.424944431,3.44959648,0.438435427,-2.15118992
123,5.126732451,0.372320003,-1.15551147,-1.971883736,0.672781517,-1.072807848,-4.095057621
124,4.362891746,0.10537219,-0.006437738,0.362246291,-0.163639918,-0.354727537,-0.094429259
125,6.064102574,0.87652325,0.292250582,2.097658537,-1.620035664,-0.620280573,0.359854381
126,5.67635269,0.927473615,0.216875345,1.194944844,-0.111153663,-0.568349628,0.302966143
127,1.878666361,-0.024744708,-0.004301627,0.622894974,-0.314126534,-0.485787647,-0.062808029
128,8.378959098,-0.235910289,0.526885269,0.454127719,0.092082587,-1.326541849,0.101665255
129,6.547926418,0.467029028,0.111436095,-0.911289624,0.44747222,0.732894446,0.296979853
130,7.684457387,0.258053387,0.400195751,1.492886932,-0.849099638,-0.454010922,0.076352804
131,53.40180006,1.812310409,5.120712801,2.794115766,2.488702947,-7.077708048,-1.0666986
132,-1.739858062,3.205878079,3.087796095,-0.653970714,1.114997402,1.514300658,0.429027014
133,1.200421381,-1.16136862,-0.358333272,-4.415916439,3.415786681,0.847609808,0.48942987
134,1.189743928,-0.131571098,0.062429438,-0.864745862,0.452628881,0.482613113,0.299048775
135,3.20388169,0.173627645,-0.045641196,0.204151147,-0.283997088,-0.223852864,-0.33185549
136,4.47869776,0.141448158,0.236686789,0.669834741,-0.198745751,-0.973874806,-0.312347053
137,1.469203475,0.005182584,-0.093733873,0.240820112,0.028293159,-0.376148349,0.164938243
138,3.261676564,0.000455054,0.167933296,0.286931685,0.006188824,-0.29221012,-0.06603473
139,7.330845921,-0.068731807,0.028585406,-0.234168244,-0.148922849,-0.649422859,-0.560888497
140,3.818856903,0.219705035,0.262780173,0.29461385,-0.271563439,-0.193181011,-0.227053704
141,1.646425799,0.041474062,-0.19833425,0.504349796,-0.246775384,-0.396607588,0.107292723
142,5.877200508,-0.158627777,-0.15969719,0.039394748,-0.213247423,-0.113279393,-0.422626076
143,14.72666058,-0.12827205,-0.346336316,-0.837668238,0.730495281,0.445645793,-0.572781323
144,5.497761525,-0.258479859,0.29487381,0.613481877,0.023289321,-0.158135753,-0.203982262
145,1.21957061,0.011673725,0.10592521,-0.182509159,0.112537317,0.05329003,-0.063063677
146,2.004753664,-0.117130639,-0.042067765,-0.216567075,0.156690165,-0.129769079,0.082305578
147,6.563816978,-0.25765292,-0.510579636,0.401112991,-0.862854157,-0.67661213,-0.714873858
148,1.424380107,-0.06439303,-0.005602089,-0.183043397,-0.215669997,0.019317205,-0.282482032
149,2.022300639,0.051622483,0.043925616,-0.174918509,0.132196652,-0.033847866,-0.237931762
150,4.872468988,0.315088289,0.730049559,-0.372983036,0.389328623,-0.178886726,0.222324313
151,1.663625898,-0.000838465,-0.091611516,0.212851151,-0.085946204,-0.263481096,-0.136910178
152,4.005718212,0.045438307,0.011143376,-0.656578832,0.234606851,0.060647791,0.027071313
153,2.314715582,-0.049128527,-0.170705996,0.675213197,-0.444721725,-0.489131945,-0.00540092
154,2.317129604,0.078089216,0.137999705,0.116501361,0.034735474,-0.19619918,0.074637645
155,4.100462589,-0.107933775,0.132990054,-0.467503735,0.71138855,0.196268327,0.168647982
156,6.357360127,0.163854345,-0.334822066,1.274012842,-0.265030774,-1.461997907,0.302026725
157,1.74254448,0.012123897,0.113645773,-0.216649784,0.230020259,0.133983731,0.015237056
158,3.457662992,-0.191230951,-0.400341532,0.121496516,-0.09834376,-0.334364383,0.08836975
159,1.685570799,-0.00382068,-0.005270333,0.204758265,-0.06483655,-0.26783992,-0.0338494
160,3.024212959,-0.08236025,-0.109874132,0.408892723,-0.051749242,-0.33315473,-0.028907554
161,16.28065342,-0.515991125,0.106503295,-2.503544042,1.11084406,1.926623824,0.761525952
162,1.559205925,-0.016539906,0.053631415,0.551416256,-0.1043246,-0.384839016,0.135551826
163,0.714225866,-0.046073543,-0.028853076,-0.07182498,0.090434938,-0.026129484,0.096426571
164,2.86714591,0.294825215,0.079762569,0.692295349,-0.269182581,-0.39632973,-0.050816545
165,0.931746873,-0.025036812,-0.129728636,-0.002952809,-0.026984828,-0.050423306,-0.025678067
166,29.06111868,-0.514586467,-1.823008828,-0.204267573,1.253113934,-0.680890972,1.365550221
167,-0.191702908,0.173772936,-0.227387586,-0.896703461,0.879814366,0.665560679,0.028823146
168,1.138680025,0.233431358,0.391208524,-0.388001216,0.813170298,0.288264421,1.186479993
169,0.567658755,0.264847505,0.412125367,0.209493702,-0.004603969,0.248087926,0.285731506
170,7.348790001,1.688624065,2.828325627,1.69533863,0.430981945,0.816555043,0.560941652
171,289.8402158,84.10494438,102.7095077,176.5230662,-162.6520362,-52.53772728,-123.7823339
172,0.38480545,-1.61377349,-0.02408518,-1.567112463,0.447648896,-0.138302387,-0.57678849
173,5.105382069,0.908859575,1.648542874,3.42842637,-3.326872073,-1.887168849,-1.301265798
174,9.822245609,-0.502953106,1.851741456,2.788584672,2.136638789,-7.204877904,6.702407003
175,2.380835527,-0.013077864,0.069370851,0.080378814,0.170879911,-0.144882584,0.032174643
176,4.243901349,-0.641421705,0.283488357,2.893452795,0.383239782,-3.477493762,1.89446588
177,0.209053323,0.307022183,-4.812611634,8.017901099,-1.810705335,-7.148677727,2.628789777
178,13.8948288,-3.720511939,-5.395484626,-8.662922223,3.303035879,-0.700607558,4.377036812
179,3.126907244,-1.625852252,-0.424790294,8.690269382,-6.807405758,-7.6564416,-5.229893015
180,0.704850678,0.168788383,-0.131784467,0.219900935,-0.303775898,0.046065794,-0.029361331
181,2.969525715,0.271322372,-0.329034554,-0.874675001,-0.297728859,0.287428497,2.017616561
182,31.66867583,6.189996741,-6.564572421,-2.851789425,-16.9931159,3.678434896,7.757015269
183,-15.83898811,0.772895623,-4.909457997,11.46838131,13.03377136,-3.854392022,7.720720978
184,-0.569709586,-0.420035885,-0.539747917,-0.448414119,2.492278914,-0.008599704,2.350782532
185,11.3738566,0.191635314,0.599470231,2.291250513,-0.814497157,-2.172604868,-1.054485675
186,14.03347503,0.938289933,1.150753569,-15.08939059,6.374541756,10.90630266,-2.863834342
187,19.65048603,-4.264116312,-7.714648649,-11.34377014,3.726638724,3.635579991,2.801998525
188,5.305570261,-1.386937912,-2.753307296,-2.920285088,0.904789459,0.830417719,1.458106562
189,16.84190617,-4.344367665,-8.225724102,-9.320153375,2.654388818,2.842563156,4.097495675
190,1.9169026,-0.471680485,-1.026127635,-1.072119155,0.325135073,0.304908379,0.38044229
191,1.794961664,-0.241567041,-0.499841236,-1.413778403,0.681973342,0.766224102,0.323186686
192,41.25257208,0.583887997,-1.779107185,-36.83303854,14.04893315,27.61783639,-8.652619947
193,-0.20589487,1.607603724,1.14630306,0.429379527,-1.112665216,2.082673646,0.285172651
194,2.041263887,1.240512654,0.988501239,-3.601289516,1.910780114,4.641735987,-0.445319454
195,1.099489277,0.339116399,0.354830903,0.208153714,-0.143465212,0.639476307,-0.092956162
196,0.397710304,3.382691786,3.682039533,-20.59020839,11.15138449,20.45481973,-4.859142209
197,1.677578142,0.980887331,0.807952636,-3.151675464,1.184562259,4.154239919,-1.068846629
198,2.179619903,0.634533984,0.680052842,-1.860819902,1.009195602,2.592689709,-0.339942973
199,1.166335605,0.898878982,0.951693796,-8.261452178,4.136514806,7.416417234,-2.425650111
200,0.242669943,0.571315203,0.608510006,-3.489570308,1.804533524,3.603288529,-1.219946962
201,12.40825117,7.133443151,8.244344795,-34.4346287,14.07757388,40.24938096,-16.04317155
202,-0.143912336,2.285351294,2.350174067,-4.867120886,2.365981745,7.713924246,-2.616485232
203,-0.832004795,8.613776518,12.75656575,-16.4228721,9.556812067,32.13589336,-10.12905536
204,-0.727233641,-0.633591272,0.424991604,0.550890158,0.170917901,-0.259059899,-0.452163058
205,0.916617763,0.526399538,0.754397739,-5.305048746,2.917819653,4.794435873,-1.352327374
206,-0.197353254,0.668975047,0.637140808,-6.583168938,3.505626737,5.31904263,-1.661693458
207,0.560866035,0.306898438,0.436081482,-3.191405688,1.777499865,2.842609239,-0.826197855
208,-6.83829816,1.58871043,1.63812535,-35.185957,23.05900694,29.45751792,-6.382040799
209,-3.009934918,1.143000975,-0.03549894,2.257968706,0.958641346,0.165933834,-0.578272129
210,0.78556226,0.7474337,0.297679666,-0.213915382,0.258927055,1.250491608,1.23146686
211,-20.34133364,28.97738246,35.21217861,-371.0156502,217.3664183,299.9201958,-68.57400749
212,-4.545144863,16.98782839,-19.91602864,22.2465509,-23.86523369,-20.8123321,-26.53319513
213,1.417980676,0.163532184,-0.246446945,0.073108874,-0.134036361,0.046634367,0.077815739
214,2.280665817,-0.12200582,-0.013650856,-0.439658669,0.298801079,-0.013970048,-0.046472005
215,1.046080927,-0.018164797,-0.066639125,-0.1836188,0.095891965,0.092949018,-0.019778361
216,3.908926476,-0.046945281,0.233712921,0.115996359,0.252063374,-0.26626775,-0.241483053
217,4.33813299,-0.032155757,0.188761032,-0.885938358,1.137832168,0.335530086,0.14106882
218,3.605086728,-0.032193131,-0.153859039,-0.122180305,0.020167444,0.092637747,0.24014126
219,20.96783811,0.611642411,-0.483491627,-2.317353415,2.533081506,2.406491512,1.536951009
220,1.493971928,-0.190811921,0.580370125,-0.430171292,0.407149697,0.131982082,0.0046165
221,-11.8859761,2.397754425,-0.885648375,-3.551616518,4.165185301,1.072677884,-4.653649227
222,-0.941044987,1.112790037,-0.966041277,-0.084575049,0.454076234,-0.098749935,-4.266134112
223,-1.739264369,0.678799746,-0.156544724,0.830961074,0.235557053,-0.370019492,-2.773396243
224,-3.25671427,1.076040589,-0.559036621,-0.891086889,1.497620677,0.173888708,-3.134119013
225,9.582333535,-0.48441667,-0.702773991,2.832777449,0.453420619,-2.527346355,0.290542667
226,6.869218065,1.37460641,0.289916648,3.344308366,-2.475487382,-1.112270815,-0.514364621
227,2.949965291,0.241561299,0.116157076,-0.310950996,-0.206500786,0.643006004,-0.493447118
228,1.400312017,25.94482728,20.89329315,-134.218632,56.84384643,127.3788163,-21.71148048
229,-0.407597077,1.053197711,1.590058949,1.292664044,-0.623928347,-2.193300344,-0.753624201
230,9.011470865,-3.784109327,-2.167932696,38.71893464,-18.44140577,-31.83688504,1.677245831
231,3.687915377,1.768843892,2.616684136,-0.149581036,-0.293059528,1.989981572,-2.169396921
232,-1.33302937,3.60050293,2.966426488,-19.70989601,8.148300111,18.28241716,-3.176082321
233,12.3028479,9.040307893,6.00002275,50.30045942,-78.99566415,-2.542244108,-6.744695531
234,-0.221770775,-0.231166206,-0.405793973,0.212450031,-0.434498327,-0.375949904,0.076179546
235,3.332233021,-0.041156356,-0.302193234,0.077734848,-0.231846094,-0.154943674,-0.080120056
236,16.21805101,1.559794914,0.020264455,0.299955912,-0.259295112,-0.607728545,0.278986533
237,24.5038568,3.25538811,-0.73319324,-9.266084429,4.97009783,6.443050728,-1.13106045
238,1.695926537,0.10552932,-0.100103675,-0.417524569,0.508547423,-0.716377967,0.081193264
239,168.5247861,0.49120625,-9.025067639,-15.93944539,-5.419712266,13.27959519,3.863064436
240,1.617561725,3.749498006,-6.500072142,1.389353957,-5.491619928,-0.381525839,1.553675457
241,2.217629575,-0.736309973,-0.112091247,1.891454066,-1.477605664,-2.414640183,0.727547627
242,13.50567345,1.11198648,0.673809626,3.904591879,-1.15339826,-1.905809529,-0.691624835
243,2.341913943,-0.224052546,-0.473627116,-0.594312779,-0.314481866,0.311324469,-0.159044538
244,71.27004406,4.36887923,5.231674878,-9.036140393,10.04302072,2.708543615,4.283181607
245,5.676593064,-0.932977344,-1.758177954,1.005430252,-2.101382804,-0.458392792,-3.990651062
246,12.11184075,-1.159265169,0.595262041,-0.054427365,0.616381507,-0.675345447,-0.23974233
247,2.343515456,0.225543286,0.273436058,-0.869653798,0.360512298,0.455512572,0.157024224
248,4.297823159,-0.263696843,-0.109748755,-0.16857236,0.185143065,-0.347154953,0.298170683
249,5.275548828,0.24210817,0.285709209,0.15250433,-0.719337875,-0.231032746,-0.532937811
250,0.931615689,0.134164537,0.041865612,-0.305132058,0.169691325,0.297551117,-0.090284161
251,5.57883698,0.374664795,0.08530155,-0.407598741,0.129466939,0.940185599,0.3936459
252,31.64730516,-2.651688328,-0.390940784,3.974654686,-0.79083801,-8.733068469,0.035291559
253,-0.514142139,-0.199957821,1.354624352,-1.356959137,1.279903338,-2.157115465,-1.486497979
254,6.979084981,0.067722131,1.108023849,-2.923544544,1.961682818,0.960510917,-0.374708232
255,3.716771482,0.25545613,0.276782545,-0.57357949,0.157383671,0.425965497,-0.126524754
256,2.552213812,-0.005696723,-0.014335954,-0.202466886,0.153325587,0.084500883,0.087540475
257,1.571325389,0.062895157,0.042108736,0.170527951,-0.163472229,-0.206817029,-0.047082954
258,2.612092729,0.055028179,-0.056474461,0.014254077,-0.13479259,0.01319115,0.058377288
259,1.336456989,0.04397577,-0.065639942,-0.137514025,-0.027265293,0.039630898,-0.074168367
260,0.185813299,-0.289689485,-0.263652604,0.267924677,0.822261685,-0.987749305,0.73918594
261,0.982317915,0.122991395,-0.129249339,-0.931062582,0.240705963,0.584421299,-0.897906974
262,4.058671724,0.282058226,-0.037894943,-2.487633525,0.324720978,2.6696874,-1.280581705
263,3.821760496,0.249418569,-0.088190291,-2.190901398,0.275652781,2.386295015,-1.129449248
264,13.3404218,-0.752225732,-1.765753236,-9.351095169,3.76525264,5.870777399,-2.908998892
265,0.01191116,0.074680422,-0.117574021,-0.344114218,0.33989961,0.374272102,0.014697057
266,6.814641043,-0.585064325,-1.326593747,-4.445625931,1.802936344,2.706298105,-1.385081728
267,3.287322023,0.008918505,-0.220922042,-2.141694092,0.564291114,1.844497345,-0.921054485
268,-0.559789455,-1.549408033,-1.528022662,-1.614654647,2.390208367,-2.524378977,0.232376821
269,-0.584069194,-1.115015268,-1.092084436,-0.899980907,1.718492599,-2.100122157,0.290781711
270,7.856526421,0.132502654,1.110395173,-8.679598057,5.258389093,7.50300442,1.386553215
271,-0.774791369,-2.818962657,-3.576323139,-2.489895499,4.471091508,-6.477940279,1.459820276
272,-0.748004738,0.760392299,0.658793534,-0.669362803,-0.050520729,0.222112997,-1.524226787
273,8.000649888,0.576594026,-0.095184773,-4.334409807,1.036248193,3.852688441,-2.588206426
274,0.445894684,0.442762699,0.247874439,-0.255820929,-0.148200444,0.818662073,-0.503143276
275,10.48467078,0.912145355,0.312682092,-5.202989578,0.584452999,5.121097689,-4.352895851
276,0.038251272,0.137020972,0.008373292,-0.453500989,-0.116481365,0.581969685,-1.385072305
277,3.159901846,0.561322639,0.313892923,-3.227250326,0.88840494,3.292401835,-1.261447408
278,1.329319001,0.189204406,0.167833419,-0.863687884,0.267209638,0.727357421,-0.393812921
279,0.845265657,-0.113086191,0.130741789,-1.153860575,0.959299086,0.395775643,0.154759204
280,0.731108033,1.25909305,2.371126216,1.216074106,0.715181309,-1.861491757,2.164224248
281,-3.622912222,1.423557354,-6.498614885,-0.320594006,0.747561139,5.27333463,2.738200279
282,0.438735462,-0.028989535,-3.31940639,-0.323426295,0.391710373,2.615451559,1.461894965
283,34.67779463,0.489365882,-10.53330838,48.83303737,-27.71798328,-49.35334053,23.40946766
284,-2.646603859,0.143659157,-1.730481913,-1.171208101,-3.254020921,-0.884897741,-2.639557275
285,1.743638616,0.064960914,-0.551129322,5.037316251,-2.945448968,-3.969145611,1.502658867
286,1.851536601,0.212634674,-0.538146007,6.124398595,-3.277430138,-5.012303348,2.481119716
287,4.174816957,0.288555028,-0.884821956,8.46757667,-5.079930533,-7.292919602,3.125563462
288,4.26518514,-0.579007845,-1.646590052,16.82330911,-7.585728082,-13.495249,7.897188847
289,-0.792319879,2.620624973,2.314394218,-36.45675261,14.57502917,24.37886944,-13.02415196
290,0.412241681,0.934737625,-0.026962253,-5.58883381,2.192971193,2.153525418,-0.092704285
291,1.588676312,-0.098700881,-0.641248458,10.81515292,-5.358724687,-8.025102107,3.291357976
292,8.452813108,0.106811469,-0.844375198,19.78973107,-10.97848309,-14.96780777,5.886128785
293,0.315280949,3.392009517,1.929506404,-22.16919117,6.560992105,13.08808927,-7.71041801
294,-0.528059303,1.627499926,1.191015307,-2.484412809,-0.205485192,0.226043041,-0.237285693
295,15.57673729,-2.085281849,-3.683544685,68.63401333,-33.13430041,-48.6752446,21.76695468
