OBS,PRO,Lats,Latitude,Longitude,jan_max,july_min,prec,evap,soil,wind
OUT96050106,PRMUND,33.81216667,-33.81216667,23.11983333,31.46,6.64,369.14,0.1,0.43,1.43
MCG96043011,PRMUND,33.9915,-33.9915,24.13966667,35.12,6.64,427.15,0.16,0.44,2.84
QTS96051108,PRMUND,33.75716667,-33.75716667,25.25,34.44,8.8,421.88,0.15,0.43,2.87
QTS96051109,PRMUND,33.76033333,-33.76033333,25.25516667,34.44,8.8,421.88,0.15,0.43,2.87
BMJ96061703,PRMUND,33.6,-33.6,24.5075,42.04,0.54,453.52,0.14,0.44,3.92
MCG96062002,PRMUND,33.88466667,-33.88466667,25.21933333,34.44,8.8,421.88,0.15,0.43,2.87
MCG96062003,PRMUND,33.8865,-33.8865,25.22583333,34.44,8.8,421.88,0.15,0.43,2.87
DFJ96081004,PRMUND,33.56833333,-33.56833333,24.78833333,42.57,2.58,511.52,0.16,0.41,3.06
NGF96081801,PRMUND,34.05583333,-34.05583333,18.87616667,33.55,6.06,506.25,0.19,0.45,3.49
LYM96081808,PRMUND,34.0535,-34.0535,18.87366667,33.55,6.06,506.25,0.19,0.45,3.49
OBK96080904,PRMUND,33.99233333,-33.99233333,23.21283333,31.46,6.64,369.14,0.1,0.43,1.43
BMJ96083104,PRMUND,33.58666667,-33.58666667,25.00833333,42.57,2.58,511.52,0.16,0.41,3.06
BMJ96090101,PRMUND,33.58666667,-33.58666667,25.005,42.57,2.58,511.52,0.16,0.41,3.06
BMJ96090102,PRMUND,33.57916667,-33.57916667,24.97833333,42.57,2.58,511.52,0.16,0.41,3.06
MCG96081001,PRMUND,33.56533333,-33.56533333,24.78916667,42.57,2.58,511.52,0.16,0.41,3.06
MCG96081003,PRMUND,33.565,-33.565,24.78116667,42.57,2.58,511.52,0.16,0.41,3.06
MCG96081802,PRMUND,33.84633333,-33.84633333,25.18816667,34.44,8.8,421.88,0.15,0.43,2.87
MCG96081803,PRMUND,33.85083333,-33.85083333,25.19416667,34.44,8.8,421.88,0.15,0.43,2.87
WJR96081001,PRMUND,33.57066667,-33.57066667,24.79166667,42.57,2.58,511.52,0.16,0.41,3.06
MCG96082405,PRMUND,33.59283333,-33.59283333,24.39833333,42.04,0.54,453.52,0.14,0.44,3.92
MCG96082501,PRMUND,33.59633333,-33.59633333,24.39416667,42.04,0.54,453.52,0.14,0.44,3.92
NAH96091203,PRMUND,33.89133333,-33.89133333,23.16666667,31.46,6.64,369.14,0.1,0.43,1.43
BMJ96092202,PRMUND,33.66,-33.66,23.77983333,38.85,-0.38,442.97,0.17,0.41,3.3
GYC96070903,PRMUND,34.32383333,-34.32383333,18.8485,24.48,10.17,474.61,0.22,0.42,3.61
WJR96082402,PRMUND,33.60233333,-33.60233333,24.401,42.04,0.54,453.52,0.14,0.44,3.92
WJR96082501,PRMUND,33.59366667,-33.59366667,24.393,42.04,0.54,453.52,0.14,0.44,3.92
DOA96101403,PRMUND,34.02766667,-34.02766667,22.96183333,31.46,6.64,369.14,0.1,0.43,1.43
DOA96101415,PRMUND,33.8915,-33.8915,23.16883333,31.46,6.64,369.14,0.1,0.43,1.43
DOA96101427,PRMUND,33.74466667,-33.74466667,23.16766667,38.52,-0.79,516.8,0.11,0.48,3.55
DOA96101428,PRMUND,33.75133333,-33.75133333,23.16833333,31.46,6.64,369.14,0.1,0.43,1.43
DOA96101430,PRMUND,33.75583333,-33.75583333,23.1635,31.46,6.64,369.14,0.1,0.43,1.43
DOA96101431,PRMUND,33.755,-33.755,23.16016667,31.46,6.64,369.14,0.1,0.43,1.43
DOA96101432,PRMUND,33.75983333,-33.75983333,23.14833333,31.46,6.64,369.14,0.1,0.43,1.43
DOA96101433,PRMUND,33.76033333,-33.76033333,23.14566667,31.46,6.64,369.14,0.1,0.43,1.43
DOA96101444,PRMUND,33.92433333,-33.92433333,23.15216667,31.46,6.64,369.14,0.1,0.43,1.43
DOA96101445,PRMUND,33.93333333,-33.93333333,23.15866667,31.46,6.64,369.14,0.1,0.43,1.43
NGF96092103,PRMUND,34.277,-34.277,18.92716667,24.48,10.17,474.61,0.22,0.42,3.61
BMJ96111001,PRMUND,33.85333333,-33.85333333,23.6355,29.69,8.42,390.23,0.17,0.44,2.8
SHR96092108,PRMUND,34.28833333,-34.28833333,18.88333333,24.48,10.17,474.61,0.22,0.42,3.61
WIJ96101208,PRMUND,33.74666667,-33.74666667,23.17083333,38.52,-0.79,516.8,0.11,0.48,3.55
WIJ96101210,PRMUND,33.75666667,-33.75666667,23.15833333,31.46,6.64,369.14,0.1,0.43,1.43
DOA96121601,PRMUND,33.97166667,-33.97166667,23.54833333,29.69,8.42,390.23,0.17,0.44,2.8
HRK96110902,PRMUND,33.94016667,-33.94016667,23.86883333,29.69,8.42,390.23,0.17,0.44,2.8
HRK96112304,PRMUND,33.96483333,-33.96483333,23.54466667,29.69,8.42,390.23,0.17,0.44,2.8
TLE96092119,PRMUND,34.33483333,-34.33483333,18.93783333,24.48,10.17,474.61,0.22,0.42,3.61
OUT97020101,PRMUND,33.88333333,-33.88333333,22.99016667,31.46,6.64,369.14,0.1,0.43,1.43
OUT97020102,PRMUND,33.882,-33.882,22.993,31.46,6.64,369.14,0.1,0.43,1.43
OUT97020103,PRMUND,33.88016667,-33.88016667,22.98816667,31.46,6.64,369.14,0.1,0.43,1.43
OUT97030101,PRMUND,33.94416667,-33.94416667,22.59466667,30.83,7.26,348.05,0.08,0.43,2.07
AWA97021302,PRMUND,33.83,-33.83,22.82816667,31.46,6.64,369.14,0.1,0.43,1.43
AXG97022102,PRMUND,33.95983333,-33.95983333,23.53433333,29.69,8.42,390.23,0.17,0.44,2.8
AXG97022103,PRMUND,33.9685,-33.9685,23.53916667,29.69,8.42,390.23,0.17,0.44,2.8
AWA97031308,PRMUND,33.82283333,-33.82283333,22.81416667,31.46,6.64,369.14,0.1,0.43,1.43
AWA97031309,PRMUND,33.82216667,-33.82216667,22.81966667,31.46,6.64,369.14,0.1,0.43,1.43
DFJ97040103,PRMUND,33.60833333,-33.60833333,24.49166667,42.04,0.54,453.52,0.14,0.44,3.92
DFJ97040104,PRMUND,33.60083333,-33.60083333,24.5475,42.04,0.54,453.52,0.14,0.44,3.92
DFJ97040105,PRMUND,33.6,-33.6,24.55583333,42.04,0.54,453.52,0.14,0.44,3.92
DFJ97040106,PRMUND,33.59833333,-33.59833333,24.51166667,42.04,0.54,453.52,0.14,0.44,3.92
DOA97031601,PRMUND,33.93333333,-33.93333333,23.51883333,29.69,8.42,390.23,0.17,0.44,2.8
DOA97031602,PRMUND,33.932,-33.932,23.51883333,29.69,8.42,390.23,0.17,0.44,2.8
DOA97031603,PRMUND,33.93283333,-33.93283333,23.53116667,29.69,8.42,390.23,0.17,0.44,2.8
DOA97031604,PRMUND,33.9325,-33.9325,23.5365,29.69,8.42,390.23,0.17,0.44,2.8
DOA97031605,PRMUND,33.93466667,-33.93466667,23.53766667,29.69,8.42,390.23,0.17,0.44,2.8
DOA97031606,PRMUND,33.93283333,-33.93283333,23.54416667,29.69,8.42,390.23,0.17,0.44,2.8
DOA97031607,PRMUND,33.936,-33.936,23.543,29.69,8.42,390.23,0.17,0.44,2.8
DOA97031609,PRMUND,33.94016667,-33.94016667,23.55433333,29.69,8.42,390.23,0.17,0.44,2.8
DFJ97050406,PRMUND,33.98333333,-33.98333333,24.31333333,35.12,6.64,427.15,0.16,0.44,2.84
RDF97042304,PRMUND,33.69483333,-33.69483333,24.12483333,42.04,0.54,453.52,0.14,0.44,3.92
DFJ97052501,PRMUND,33.88166667,-33.88166667,25.185,34.44,8.8,421.88,0.15,0.43,2.87
DFJ97052503,PRMUND,33.88166667,-33.88166667,25.2,34.44,8.8,421.88,0.15,0.43,2.87
WIJ97040104,PRMUND,33.58333333,-33.58333333,24.51166667,42.04,0.54,453.52,0.14,0.44,3.92
WIJ97040107,PRMUND,33.6,-33.6,24.535,42.04,0.54,453.52,0.14,0.44,3.92
MCG97052501,PRMUND,33.881,-33.881,25.19466667,34.44,8.8,421.88,0.15,0.43,2.87
MCG97052502,PRMUND,33.8865,-33.8865,25.20483333,34.44,8.8,421.88,0.15,0.43,2.87
MCG97060102,PRMUND,33.84916667,-33.84916667,25.13983333,34.44,8.8,421.88,0.15,0.43,2.87
OBK97061501,PRMUND,33.90183333,-33.90183333,23.65916667,29.69,8.42,390.23,0.17,0.44,2.8
OBK97061505,PRMUND,33.90583333,-33.90583333,23.707,29.69,8.42,390.23,0.17,0.44,2.8
DFJ97061801,PRMUND,33.88083333,-33.88083333,25.19166667,34.44,8.8,421.88,0.15,0.43,2.87
CSS97070602,PRMUND,33.905,-33.905,23.6555,29.69,8.42,390.23,0.17,0.44,2.8
DOA97070809,PRMUND,33.64783333,-33.64783333,24.7935,42.57,2.58,511.52,0.16,0.41,3.06
MCG97071301,PRMUND,33.70583333,-33.70583333,23.99683333,38.85,-0.38,442.97,0.17,0.41,3.3
NGF97092006,PRMUND,33.85083333,-33.85083333,23.68183333,29.69,8.42,390.23,0.17,0.44,2.8
NGF97092003,PRMUND,33.864,-33.864,23.69783333,29.69,8.42,390.23,0.17,0.44,2.8
NGF97092001,PRMUND,33.85266667,-33.85266667,23.6805,29.69,8.42,390.23,0.17,0.44,2.8
AGR97080203,PRMUND,34.02483333,-34.02483333,24.43433333,35.12,6.64,427.15,0.16,0.44,2.84
AGR97080204,PRMUND,34.027,-34.027,24.442,35.12,6.64,427.15,0.16,0.44,2.84
AGR97080207,PRMUND,34.028,-34.028,24.46766667,35.12,6.64,427.15,0.16,0.44,2.84
MCG97091404,PRMUND,33.68733333,-33.68733333,24.979,42.57,2.58,511.52,0.16,0.41,3.06
MCG97091405,PRMUND,33.6955,-33.6955,24.978,42.57,2.58,511.52,0.16,0.41,3.06
MCG97091406,PRMUND,33.69016667,-33.69016667,24.965,42.57,2.58,511.52,0.16,0.41,3.06
MCG97091407,PRMUND,33.69183333,-33.69183333,24.95966667,42.57,2.58,511.52,0.16,0.41,3.06
AGR97080302,PRMUND,33.9105,-33.9105,23.46833333,29.69,8.42,390.23,0.17,0.44,2.8
AGR97080309,PRMUND,33.86216667,-33.86216667,23.50433333,29.69,8.42,390.23,0.17,0.44,2.8
AGR97080314,PRMUND,33.89283333,-33.89283333,23.49466667,29.69,8.42,390.23,0.17,0.44,2.8
AGR97080316,PRMUND,33.908,-33.908,23.4725,29.69,8.42,390.23,0.17,0.44,2.8
AGR97080402,PRMUND,33.96083333,-33.96083333,23.53166667,29.69,8.42,390.23,0.17,0.44,2.8
CVV97061501,PRMUND,33.93333333,-33.93333333,23.53333333,29.69,8.42,390.23,0.17,0.44,2.8
CVV97061502,PRMUND,33.93833333,-33.93833333,23.55516667,29.69,8.42,390.23,0.17,0.44,2.8
CVV97061503,PRMUND,33.93866667,-33.93866667,23.5595,29.69,8.42,390.23,0.17,0.44,2.8
CVV97061504,PRMUND,33.965,-33.965,23.64916667,29.69,8.42,390.23,0.17,0.44,2.8
DFJ97092005,PRMUND,33.825,-33.825,23.61666667,29.69,8.42,390.23,0.17,0.44,2.8
DFJ97092202,PRMUND,33.97833333,-33.97833333,24.2925,35.12,6.64,427.15,0.16,0.44,2.84
OUT97070603,PRMUND,33.8525,-33.8525,23.68333333,29.69,8.42,390.23,0.17,0.44,2.8
OUT97070604,PRMUND,33.84883333,-33.84883333,23.67983333,29.69,8.42,390.23,0.17,0.44,2.8
OUT97070605,PRMUND,33.84833333,-33.84833333,23.69166667,29.69,8.42,390.23,0.17,0.44,2.8
OUT97070608,PRMUND,33.83216667,-33.83216667,23.637,29.69,8.42,390.23,0.17,0.44,2.8
OUT97070609,PRMUND,33.83,-33.83,23.625,29.69,8.42,390.23,0.17,0.44,2.8
PVR97100104,PRMUND,34.3345,-34.3345,18.94866667,24.48,10.17,474.61,0.22,0.42,3.61
AGR97092001,PRMUND,33.81666667,-33.81666667,23.57833333,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092004,PRMUND,33.8155,-33.8155,23.555,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092008,PRMUND,33.8135,-33.8135,23.575,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092009,PRMUND,33.81166667,-33.81166667,23.575,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092010,PRMUND,33.8095,-33.8095,23.576,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092011,PRMUND,33.80816667,-33.80816667,23.575,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092012,PRMUND,33.811,-33.811,23.57883333,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092013,PRMUND,33.8095,-33.8095,23.5795,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092014,PRMUND,33.811,-33.811,23.585,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092016,PRMUND,33.81216667,-33.81216667,23.58783333,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092017,PRMUND,33.81483333,-33.81483333,23.5905,29.69,8.42,390.23,0.17,0.44,2.8
AGR97092018,PRMUND,33.817,-33.817,23.5945,29.69,8.42,390.23,0.17,0.44,2.8
PVR97092001,PRMUND,33.81666667,-33.81666667,23.5755,29.69,8.42,390.23,0.17,0.44,2.8
PVR97092003,PRMUND,33.84816667,-33.84816667,23.63433333,29.69,8.42,390.23,0.17,0.44,2.8
PVR97092006,PRMUND,33.85016667,-33.85016667,23.64033333,29.69,8.42,390.23,0.17,0.44,2.8
PVR97092010,PRMUND,33.843,-33.843,23.653,29.69,8.42,390.23,0.17,0.44,2.8
PVR97092011,PRMUND,33.8415,-33.8415,23.64616667,29.69,8.42,390.23,0.17,0.44,2.8
DFJ97101806,PRMUND,33.71583333,-33.71583333,23.99333333,38.85,-0.38,442.97,0.17,0.41,3.3
MCG97092004,PRMUND,33.83833333,-33.83833333,23.6355,29.69,8.42,390.23,0.17,0.44,2.8
MCG97092005,PRMUND,33.84283333,-33.84283333,23.63916667,29.69,8.42,390.23,0.17,0.44,2.8
MCG97092006,PRMUND,33.84766667,-33.84766667,23.63916667,29.69,8.42,390.23,0.17,0.44,2.8
MCG97092201,PRMUND,33.83833333,-33.83833333,23.6435,29.69,8.42,390.23,0.17,0.44,2.8
MCG97092202,PRMUND,33.83466667,-33.83466667,23.63916667,29.69,8.42,390.23,0.17,0.44,2.8
MCG97101902,PRMUND,33.69633333,-33.69633333,24.00333333,38.85,-0.38,442.97,0.17,0.41,3.3
PVR97092203,PRMUND,33.967,-33.967,24.2705,35.12,6.64,427.15,0.16,0.44,2.84
SAS97092001,PRMUND,33.84433333,-33.84433333,23.63566667,29.69,8.42,390.23,0.17,0.44,2.8
SMR97092001,PRMUND,33.8185,-33.8185,23.56116667,29.69,8.42,390.23,0.17,0.44,2.8
SMR97092002,PRMUND,33.8155,-33.8155,23.5695,29.69,8.42,390.23,0.17,0.44,2.8
SMR97092004,PRMUND,33.81033333,-33.81033333,23.59283333,29.69,8.42,390.23,0.17,0.44,2.8
SMR97092005,PRMUND,33.79416667,-33.79416667,23.58833333,29.69,8.42,390.23,0.17,0.44,2.8
TLE97092001,PRMUND,33.83833333,-33.83833333,23.63333333,29.69,8.42,390.23,0.17,0.44,2.8
WIJ97092001,PRMUND,33.85,-33.85,23.6785,29.69,8.42,390.23,0.17,0.44,2.8
LYM97092001,PRMUND,33.817,-33.817,23.58833333,29.69,8.42,390.23,0.17,0.44,2.8
LYM97092003,PRMUND,33.82483333,-33.82483333,23.5855,29.69,8.42,390.23,0.17,0.44,2.8
LYM97092004,PRMUND,33.82833333,-33.82833333,23.59733333,29.69,8.42,390.23,0.17,0.44,2.8
NGF97092201,PRMUND,33.964,-33.964,24.30116667,35.12,6.64,427.15,0.16,0.44,2.84
NGF97092204,PRMUND,33.97066667,-33.97066667,24.29716667,35.12,6.64,427.15,0.16,0.44,2.84
NGF97092205,PRMUND,33.976,-33.976,24.29216667,35.12,6.64,427.15,0.16,0.44,2.84
DFJ97092001,PRMUND,33.83333333,-33.83333333,23.62916667,29.69,8.42,390.23,0.17,0.44,2.8
SAS97092204,PRMUND,33.97516667,-33.97516667,24.29783333,35.12,6.64,427.15,0.16,0.44,2.84
WIJ97092201,PRMUND,33.96583333,-33.96583333,24.26616667,35.12,6.64,427.15,0.16,0.44,2.84
WIJ97092203,PRMUND,33.977,-33.977,24.295,35.12,6.64,427.15,0.16,0.44,2.84
BMJ97110902,PRMUND,33.59083333,-33.59083333,24.83416667,42.57,2.58,511.52,0.16,0.41,3.06
JCJ97033001,PRMUND,33.59,-33.59,24.818,42.57,2.58,511.52,0.16,0.41,3.06
JCJ97040103,PRMUND,33.58833333,-33.58833333,24.76666667,42.57,2.58,511.52,0.16,0.41,3.06
JCJ97040104,PRMUND,33.59666667,-33.59666667,24.76333333,42.57,2.58,511.52,0.16,0.41,3.06
JCJ97071201,PRMUND,33.71,-33.71,24.00666667,38.85,-0.38,442.97,0.17,0.41,3.3
SML97092203,PRMUND,33.99866667,-33.99866667,24.41283333,35.12,6.64,427.15,0.16,0.44,2.84
SML97092204,PRMUND,34.00266667,-34.00266667,24.41383333,35.12,6.64,427.15,0.16,0.44,2.84
JCJ97091401,PRMUND,33.69,-33.69,24.96333333,42.57,2.58,511.52,0.16,0.41,3.06
JCJ97091402,PRMUND,33.7,-33.7,24.94833333,42.57,2.58,511.52,0.16,0.41,3.06
JCJ97101902,PRMUND,33.68333333,-33.68333333,24.00666667,38.85,-0.38,442.97,0.17,0.41,3.3
JCJ97101903,PRMUND,33.68,-33.68,23.99333333,38.85,-0.38,442.97,0.17,0.41,3.3
JCJ97102002,PRMUND,33.65833333,-33.65833333,23.9975,38.85,-0.38,442.97,0.17,0.41,3.3
DFJ97120605,PRMUND,33.59166667,-33.59166667,24.42333333,42.04,0.54,453.52,0.14,0.44,3.92
DFJ97120706,PRMUND,33.59833333,-33.59833333,24.39833333,42.04,0.54,453.52,0.14,0.44,3.92
DFJ97120707,PRMUND,33.5975,-33.5975,24.39,42.04,0.54,453.52,0.14,0.44,3.92
MCG97120601,PRMUND,33.5905,-33.5905,24.39083333,42.04,0.54,453.52,0.14,0.44,3.92
MCG97120602,PRMUND,33.58866667,-33.58866667,24.39833333,42.04,0.54,453.52,0.14,0.44,3.92
MCG97120604,PRMUND,33.59416667,-33.59416667,24.42583333,42.04,0.54,453.52,0.14,0.44,3.92
DOA97122903,PRMUND,34.074,-34.074,23.29033333,31.46,6.64,369.14,0.1,0.43,1.43
DOA97122906,PRMUND,34.069,-34.069,23.26666667,31.46,6.64,369.14,0.1,0.43,1.43
DOA97122907,PRMUND,34.06283333,-34.06283333,23.2635,31.46,6.64,369.14,0.1,0.43,1.43
SHR98020702,PRMUND,34.2745,-34.2745,18.90833333,24.48,10.17,474.61,0.22,0.42,3.61
TLE97050401,PRMUND,34.32183333,-34.32183333,18.9645,24.48,10.17,474.61,0.22,0.42,3.61
WMP97092001,PRMUND,33.84033333,-33.84033333,23.63433333,29.69,8.42,390.23,0.17,0.44,2.8
WMP97092002,PRMUND,33.85233333,-33.85233333,23.63333333,29.69,8.42,390.23,0.17,0.44,2.8
WMP97092003,PRMUND,33.85333333,-33.85333333,23.643,29.69,8.42,390.23,0.17,0.44,2.8
WMP97092204,PRMUND,33.96716667,-33.96716667,24.29383333,35.12,6.64,427.15,0.16,0.44,2.84
NSC98012601,PRMUND,33.84633333,-33.84633333,22.67116667,30.83,7.26,348.05,0.08,0.43,2.07
NSC98013102,PRMUND,33.84233333,-33.84233333,22.66,30.83,7.26,348.05,0.08,0.43,2.07
NSC98013103,PRMUND,33.8405,-33.8405,22.65116667,30.83,7.26,348.05,0.08,0.43,2.07
NSC98013105,PRMUND,33.83516667,-33.83516667,22.64566667,30.83,7.26,348.05,0.08,0.43,2.07
NSC98013106,PRMUND,33.82616667,-33.82616667,22.65533333,30.83,7.26,348.05,0.08,0.43,2.07
AGR98020711,PRMUND,34.2685,-34.2685,18.91283333,24.48,10.17,474.61,0.22,0.42,3.61
AGR98020712,PRMUND,34.27116667,-34.27116667,18.90616667,24.48,10.17,474.61,0.22,0.42,3.61
AGR98020713,PRMUND,34.278,-34.278,18.91833333,24.48,10.17,474.61,0.22,0.42,3.61
DFJ98032101,PRMUND,33.84333333,-33.84333333,22.665,30.83,7.26,348.05,0.08,0.43,2.07
DFJ98032102,PRMUND,33.84,-33.84,22.65416667,30.83,7.26,348.05,0.08,0.43,2.07
DFJ98032103,PRMUND,33.84416667,-33.84416667,22.645,30.83,7.26,348.05,0.08,0.43,2.07
DFJ98032104,PRMUND,33.85,-33.85,22.64,30.83,7.26,348.05,0.08,0.43,2.07
BMJ98042701,PRMUND,33.715,-33.715,23.96833333,38.85,-0.38,442.97,0.17,0.41,3.3
DFJ98042503,PRMUND,33.57083333,-33.57083333,24.88166667,42.57,2.58,511.52,0.16,0.41,3.06
DFJ98042504,PRMUND,33.57666667,-33.57666667,24.8775,42.57,2.58,511.52,0.16,0.41,3.06
DFJ98042506,PRMUND,33.57666667,-33.57666667,24.85916667,42.57,2.58,511.52,0.16,0.41,3.06
DFJ98042507,PRMUND,33.57583333,-33.57583333,24.84833333,42.57,2.58,511.52,0.16,0.41,3.06
DFJ98042508,PRMUND,33.57583333,-33.57583333,24.93416667,42.57,2.58,511.52,0.16,0.41,3.06
DFJ98042509,PRMUND,33.575,-33.575,24.82083333,42.57,2.58,511.52,0.16,0.41,3.06
DFJ98042510,PRMUND,33.57083333,-33.57083333,24.81333333,42.57,2.58,511.52,0.16,0.41,3.06
JID98032801,PRMUND,34.32066667,-34.32066667,18.9645,24.48,10.17,474.61,0.22,0.42,3.61
AGR98041107,PRMUND,34.32933333,-34.32933333,19.00316667,24.48,10.17,474.61,0.22,0.42,3.61
DFJ98051703,PRMUND,33.73666667,-33.73666667,25.18333333,42.57,2.58,511.52,0.16,0.41,3.06
MCG98052505,PRMUND,33.87116667,-33.87116667,25.19466667,34.44,8.8,421.88,0.15,0.43,2.87
MCG98052507,PRMUND,33.88066667,-33.88066667,25.201,34.44,8.8,421.88,0.15,0.43,2.87
MCG98052703,PRMUND,33.88783333,-33.88783333,25.26233333,34.44,8.8,421.88,0.15,0.43,2.87
MHG97122201,PRMUND,33.97216667,-33.97216667,23.553,29.69,8.42,390.23,0.17,0.44,2.8
MHG98051401,PRMUND,33.88833333,-33.88833333,22.97966667,31.46,6.64,369.14,0.1,0.43,1.43
NAH98052301,PRMUND,34.40133333,-34.40133333,19.414,29.51,6.87,363.87,0.14,0.41,3.67
DOA98052611,PRMUND,33.81816667,-33.81816667,22.90866667,31.46,6.64,369.14,0.1,0.43,1.43
AWA98071302,PRMUND,33.77283333,-33.77283333,23.16266667,31.46,6.64,369.14,0.1,0.43,1.43
AWA98071303,PRMUND,33.76866667,-33.76866667,23.16416667,31.46,6.64,369.14,0.1,0.43,1.43
AWA98071304,PRMUND,33.7685,-33.7685,23.166,31.46,6.64,369.14,0.1,0.43,1.43
KBR98052802,PRMUND,33.82416667,-33.82416667,22.90383333,31.46,6.64,369.14,0.1,0.43,1.43
KBR98052803,PRMUND,33.82033333,-33.82033333,22.89666667,31.46,6.64,369.14,0.1,0.43,1.43
KBR98052804,PRMUND,33.8175,-33.8175,22.89833333,31.46,6.64,369.14,0.1,0.43,1.43
KBR98071301,PRMUND,33.83466667,-33.83466667,22.92366667,31.46,6.64,369.14,0.1,0.43,1.43
WIJ98072505,PRMUND,34.39166667,-34.39166667,19.32666667,29.51,6.87,363.87,0.14,0.41,3.67
JID98072501,PRMUND,34.3905,-34.3905,19.35166667,29.51,6.87,363.87,0.14,0.41,3.67
JID98072502,PRMUND,34.38866667,-34.38866667,19.3505,29.51,6.87,363.87,0.14,0.41,3.67
JID98072503,PRMUND,34.38666667,-34.38666667,19.34683333,29.51,6.87,363.87,0.14,0.41,3.67
JID98072504,PRMUND,34.38633333,-34.38633333,19.34033333,29.51,6.87,363.87,0.14,0.41,3.67
AGR98072907,PRMUND,34.4055,-34.4055,19.68033333,29.51,6.87,363.87,0.14,0.41,3.67
BSM98080902,PRMUND,33.62316667,-33.62316667,25.19616667,42.57,2.58,511.52,0.16,0.41,3.06
OUT98031401,PRMUND,33.81233333,-33.81233333,22.91866667,31.46,6.64,369.14,0.1,0.43,1.43
BSM98092703,PRMUND,33.6655,-33.6655,25.25,42.57,2.58,511.52,0.16,0.41,3.06
PVR98111201,PRMUND,33.968,-33.968,23.54066667,29.69,8.42,390.23,0.17,0.44,2.8
PVR98111306,PRMUND,33.77433333,-33.77433333,23.14433333,31.46,6.64,369.14,0.1,0.43,1.43
PVR98111307,PRMUND,33.76566667,-33.76566667,23.13983333,31.46,6.64,369.14,0.1,0.43,1.43
PVR98111308,PRMUND,33.7555,-33.7555,23.16033333,31.46,6.64,369.14,0.1,0.43,1.43
PVR98111309,PRMUND,33.74833333,-33.74833333,23.1705,38.52,-0.79,516.8,0.11,0.48,3.55
JDJ98071301,PRMUND,33.81166667,-33.81166667,22.88633333,31.46,6.64,369.14,0.1,0.43,1.43
JDJ98071305,PRMUND,33.81683333,-33.81683333,22.907,31.46,6.64,369.14,0.1,0.43,1.43
DEB95051601,PRMUND,33.66616667,-33.66616667,23.76433333,38.85,-0.38,442.97,0.17,0.41,3.3
DEB95051801,PRMUND,33.70966667,-33.70966667,24.01016667,38.85,-0.38,442.97,0.17,0.41,3.3
DEB95051901,PRMUND,33.69183333,-33.69183333,24.00433333,38.85,-0.38,442.97,0.17,0.41,3.3
DEB95052401,PRMUND,33.59733333,-33.59733333,24.559,42.04,0.54,453.52,0.14,0.44,3.92
DEB95052403,PRMUND,33.60683333,-33.60683333,24.563,42.04,0.54,453.52,0.14,0.44,3.92
DEB95052404,PRMUND,33.61033333,-33.61033333,24.56483333,42.04,0.54,453.52,0.14,0.44,3.92
DFJ98112802,PRMUND,33.83333333,-33.83333333,22.72666667,30.83,7.26,348.05,0.08,0.43,2.07
MCG98110802,PRMUND,33.59283333,-33.59283333,25.01183333,42.57,2.58,511.52,0.16,0.41,3.06
MCG98110803,PRMUND,33.58833333,-33.58833333,25.00583333,42.57,2.58,511.52,0.16,0.41,3.06
FMD98112801,PRMUND,33.8275,-33.8275,22.72916667,30.83,7.26,348.05,0.08,0.43,2.07
BMJ98121301,PRMUND,33.59133333,-33.59133333,24.9475,42.57,2.58,511.52,0.16,0.41,3.06
MCG98112801,PRMUND,33.8315,-33.8315,22.72533333,30.83,7.26,348.05,0.08,0.43,2.07
MCG98112802,PRMUND,33.82433333,-33.82433333,22.722,30.83,7.26,348.05,0.08,0.43,2.07
MCG98121304,PRMUND,33.59016667,-33.59016667,24.94083333,42.57,2.58,511.52,0.16,0.41,3.06
MCG98121305,PRMUND,33.59166667,-33.59166667,24.9565,42.57,2.58,511.52,0.16,0.41,3.06
IVM98103003,PRMUND,33.81033333,-33.81033333,22.9495,31.46,6.64,369.14,0.1,0.43,1.43
IVM98103004,PRMUND,33.80716667,-33.80716667,22.943,31.46,6.64,369.14,0.1,0.43,1.43
AGR98103003,PRMUND,33.80916667,-33.80916667,22.95166667,31.46,6.64,369.14,0.1,0.43,1.43
AGR98103004,PRMUND,33.80583333,-33.80583333,22.94916667,31.46,6.64,369.14,0.1,0.43,1.43
AGR98103005,PRMUND,33.8085,-33.8085,22.93283333,31.46,6.64,369.14,0.1,0.43,1.43
AGR98103006,PRMUND,33.7995,-33.7995,22.91133333,31.46,6.64,369.14,0.1,0.43,1.43
AGR98103014,PRMUND,33.7585,-33.7585,23.16116667,31.46,6.64,369.14,0.1,0.43,1.43
IVM98103006,PRMUND,33.75233333,-33.75233333,23.16866667,31.46,6.64,369.14,0.1,0.43,1.43
GRV98103003,PRMUND,33.80683333,-33.80683333,22.93916667,31.46,6.64,369.14,0.1,0.43,1.43
