OBS,PRO,Lats,Latitude,Longitude,jan_max,july_min,prec,evap,soil,wind
APE93051907,PRMUND,33.88566667,-33.88566667,25.25183333,34.44,8.8,421.88,0.15,0.43,2.87
MAJ93060901,PRMUND,34.2725,-34.2725,18.925,24.48,10.17,474.61,0.22,0.42,3.61
RBC93070103,PRMUND,33.69033333,-33.69033333,24.96916667,42.57,2.58,511.52,0.16,0.41,3.06
DOA93050301,PRMUND,33.97033333,-33.97033333,23.5775,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050303,PRMUND,33.96533333,-33.96533333,23.58516667,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050403,PRMUND,33.90766667,-33.90766667,23.63383333,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050405,PRMUND,33.9045,-33.9045,23.64683333,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050406,PRMUND,33.90366667,-33.90366667,23.6495,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050407,PRMUND,33.90366667,-33.90366667,23.6565,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050409,PRMUND,33.90033333,-33.90033333,23.66283333,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050508,PRMUND,33.91933333,-33.91933333,23.77416667,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050509,PRMUND,33.919,-33.919,23.77633333,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050604,PRMUND,33.93783333,-33.93783333,23.88716667,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050701,PRMUND,33.95183333,-33.95183333,23.91783333,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050702,PRMUND,33.96483333,-33.96483333,23.9285,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050703,PRMUND,33.9675,-33.9675,23.8855,29.69,8.42,390.23,0.17,0.44,2.8
DOA93050705,PRMUND,33.96133333,-33.96133333,23.5355,29.69,8.42,390.23,0.17,0.44,2.8
APE93051903,PRMUND,33.8865,-33.8865,25.26133333,34.44,8.8,421.88,0.15,0.43,2.87
OUT93072502,PRMUND,33.9675,-33.9675,23.58466667,29.69,8.42,390.23,0.17,0.44,2.8
MHG93071401,PRMUND,33.97033333,-33.97033333,23.54433333,29.69,8.42,390.23,0.17,0.44,2.8
JAT93071202,PRMUND,34.08566667,-34.08566667,23.23233333,31.46,6.64,369.14,0.1,0.43,1.43
OUT93080702,PRMUND,33.8405,-33.8405,22.6495,30.83,7.26,348.05,0.08,0.43,2.07
OUT93081505,PRMUND,33.945,-33.945,22.59683333,30.83,7.26,348.05,0.08,0.43,2.07
OUT93091102,PRMUND,33.85,-33.85,22.57916667,30.83,7.26,348.05,0.08,0.43,2.07
OUT93091106,PRMUND,33.85333333,-33.85333333,22.55,30.83,7.26,348.05,0.08,0.43,2.07
AKS93091403,PRMUND,33.9675,-33.9675,23.585,29.69,8.42,390.23,0.17,0.44,2.8
AKS93091503,PRMUND,33.9085,-33.9085,23.6365,29.69,8.42,390.23,0.17,0.44,2.8
AKS93091504,PRMUND,33.90466667,-33.90466667,23.649,29.69,8.42,390.23,0.17,0.44,2.8
AKS93091505,PRMUND,33.90716667,-33.90716667,23.649,29.69,8.42,390.23,0.17,0.44,2.8
AKS93091506,PRMUND,33.90233333,-33.90233333,23.65866667,29.69,8.42,390.23,0.17,0.44,2.8
AKS93091507,PRMUND,33.9005,-33.9005,23.6645,29.69,8.42,390.23,0.17,0.44,2.8
AKS93091509,PRMUND,33.90133333,-33.90133333,23.68916667,29.69,8.42,390.23,0.17,0.44,2.8
AKS93091606,PRMUND,33.91933333,-33.91933333,23.778,29.69,8.42,390.23,0.17,0.44,2.8
KLW93091402,PRMUND,33.92166667,-33.92166667,23.635,29.69,8.42,390.23,0.17,0.44,2.8
GNI93102501,PRMUND,33.74233333,-33.74233333,25.02016667,42.57,2.58,511.52,0.16,0.41,3.06
